Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),source,target,Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
202,=A02+I1-W352,LIYY 2x0.25,,BU,0.25,,=A02+S1-S3,=A02+K1.B1-X20-X20.2M:10,,,,,,,,
203,=A02+I1-W352,LIYY 2x0.25,,BN,0.25,,=A02+K1.B1-X20-X20.2M:9,=A02+S1-S3,,,,,,,,
204,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.2F:9,,,,,,,,
205,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,GYPK,"0,25",,=A02+K1.B1-X20-X20.1M:11,=A02+S1-A21-X1:11,,,,,,,,
206,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:6,=A02+K1.B1-X20-X20.1F:11,,,,,,,,
207,=A02+I1-W303,"UNITRONIC? LiYY 25x0,25",,RDBU,"0,25",,=A02+K1.B1-X20-X20.1M:12,=A02+S1-A21-X1:12,,,,,,,,
208,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:7,=A02+K1.B1-X20-X20.1F:12,,,,,,,,
209,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:12,=A02+K1.B1-A3:6,,,,,,,,
210,=A02+I1-W353,LIYY 2x0.25,,BU,0.25,,=A02+S1-S12,=A02+K1.B1-X20-X20.2M:12,,,,,,,,
211,=A02+I1-W353,LIYY 2x0.25,,BN,0.25,,=A02+K1.B1-X20-X20.2M:11,=A02+S1-S12,,,,,,,,
212,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.2F:11,,,,,,,,
213,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:14,=A02+K1.B1-A3:7,,,,,,,,
214,=A02+I1-W354,LIYY 2x0.25,,BU,0.25,,=A02+S1-S13,=A02+K1.B1-X20-X20.2M:14,,,,,,,,
215,=A02+I1-W354,LIYY 2x0.25,,BN,0.25,,=A02+K1.B1-X20-X20.2M:13,=A02+S1-S13,,,,,,,,
216,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.2F:13,,,,,,,,
217,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,WH,"0,25",,=A02+K1.B1-X20-X20.1M:16,=A02+S1-A23-X1:1,,,,,,,,
218,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:8,=A02+K1.B1-X20-X20.1F:16,,,,,,,,
219,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,BN,"0,25",,=A02+K1.B1-X20-X20.1M:17,=A02+S1-A23-X1:2,,,,,,,,
220,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:9,=A02+K1.B1-X20-X20.1F:17,,,,,,,,
221,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,GN,"0,25",,=A02+K1.B1-X20-X20.1M:18,=A02+S1-A23-X1:3,,,,,,,,
222,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:10,=A02+K1.B1-X20-X20.1F:18,,,,,,,,
223,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,YE,"0,25",,=A02+K1.B1-X20-X20.1M:19,=A02+S1-A23-X1:4,,,,,,,,
224,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:11,=A02+K1.B1-X20-X20.1F:19,,,,,,,,
225,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,GY,"0,25",,=A02+K1.B1-X20-X20.1M:20,=A02+S1-A23-X1:5,,,,,,,,
226,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:12,=A02+K1.B1-X20-X20.1F:20,,,,,,,,
227,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,PK,"0,25",,=A02+K1.B1-X20-X20.1M:21,=A02+S1-A23-X1:6,,,,,,,,
228,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:13,=A02+K1.B1-X20-X20.1F:21,,,,,,,,
229,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,BU,"0,25",,=A02+S1-A23-X1:7,=A02+K1.B1-X20-X20.1M:22,,,,,,,,
230,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:14,=A02+K1.B1-X20-X20.1F:22,,,,,,,,
231,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,RD,"0,25",,=A02+S1-A23-X1:8,=A02+K1.B1-X20-X20.1M:23,,,,,,,,
232,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:15,=A02+K1.B1-X20-X20.1F:23,,,,,,,,
233,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,BK,"0,25",,=A02+S1-A23-X1:9,=A02+K1.B1-X20-X20.1M:24,,,,,,,,
234,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A1:16,=A02+K1.B1-X20-X20.1F:24,,,,,,,,
235,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,VT,"0,25",,=A02+S1-A23-X1:10,=A02+K1.B1-X20-X20.2M:1,,,,,,,,
236,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:1,=A02+K1.B1-X20-X20.2F:1,,,,,,,,
237,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,GYPK,"0,25",,=A02+K1.B1-X20-X20.2M:2,=A02+S1-A23-X1:11,,,,,,,,
238,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:2,=A02+K1.B1-X20-X20.2F:2,,,,,,,,
239,=A02+I1-W304,"UNITRONIC? LiYY 25x0,25",,RDBU,"0,25",,=A02+K1.B1-X20-X20.2M:3,=A02+S1-A23-X1:12,,,,,,,,
240,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:3,=A02+K1.B1-X20-X20.2F:3,,,,,,,,
241,=A02+I1-W350,"?LFLEX? CLASSIC 110 3x0,5 mm?",,1,0.5,6 m,=A02+K1.B1-X20-X20.2M:15,=A02+S1-S2:1,,,,,,,,
242,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:4,=A02+K1.B1-X20-X20.2F:15,,,,,,,,
243,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:16,=A02+K1.B1-A3:8,,,,,,,,
244,=A02+I1-W350,"?LFLEX? CLASSIC 110 3x0,5 mm?",,2,0.5,,=A02+S1-S2:3,=A02+K1.B1-X20-X20.2M:16,,,,,,,,
245,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A4:1,=A02+K1.B1-X20-X20.3F:1,,,,,,,,
246,=A02+I1-W380,"?LFLEX? CLASSIC 110 2x0,5 mm?",,1,"0,5",9 m,=A02+K1.B1-X20-X20.3M:1,=A02+S1-B20:1,,,,,,,,
247,=A02+I1-W380,"?LFLEX? CLASSIC 110 2x0,5 mm?",,2,"0,5",9 m,=A02+K1.B1-X20-X20.3M:2,=A02+S1-B20:2,,,,,,,,
248,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.3F:2,=A02+K1.B1-A4:2,,,,,,,,
249,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A4:5,=A02+K1.B1-X20-X20.3F:3,,,,,,,,
250,=A02+I1-W381,"?LFLEX? CLASSIC 110 2x0,5 mm?",,1,"0,5",8 m,=A02+K1.B1-X20-X20.3M:3,=A02+S1-B21:1,,,,,,,,
251,=A02+I1-W381,"?LFLEX? CLASSIC 110 2x0,5 mm?",,2,"0,5",8 m,=A02+K1.B1-X20-X20.3M:4,=A02+S1-B21:2,,,,,,,,
252,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.3F:4,=A02+K1.B1-A4:6,,,,,,,,
253,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.2M:11,=A02+K1.B1-X21-X21.2M:12,,,,,,,,
254,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-W5(-P1):P1,=A02+K1.B1-X21-X21.2M:12,,,,,,,,
255,=A02+I1-W385,"Sensorleitung 8x0,25",,BN,"0,25",,=A02+S1-J20:2,=A02+K1.B1-X21-X21.2F:11,,,,,,,,
256,=A02+S1-W385,"LIY 8x0,5",,BN,"0,5",,=A02+S1-S20:2,=A02+S1-J20:2,,,,,,,,
257,=A02+I1-W385,"Sensorleitung 8x0,25",,WH,"0,25",,=A02+S1-J20:1,=A02+K1.B1-X21-X21.2F:12,,,,,,,,
258,=A02+S1-W385,"LIY 8x0,5",,WH,"0,5",,=A02+S1-S20:1,=A02+S1-J20:1,,,,,,,,
259,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.2M:13,=A02+K1.B1-X21-X21.2M:16,,,,,,,,
260,=A02+I1-W385,"Sensorleitung 8x0,25",,BU,"0,25",,=A02+S1-J20:7,=A02+K1.B1-X21-X21.2F:13,,,,,,,,
261,=A02+S1-W385,"LIY 8x0,5",,BU,"0,5",,=A02+S1-S20:7,=A02+S1-J20:7,,,,,,,,
262,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.2M:14,=A02+K1.B1-X21-X21.2M:15,,,,,,,,
263,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X21-X21.2M:15,=A02+K1.B1-K21.1:72,,,,,,,,
264,=A02+I1-W385,"Sensorleitung 8x0,25",,RD,"0,25",,=A02+S1-J20:8,=A02+K1.B1-X21-X21.2F:14,,,,,,,,
265,=A02+S1-W385,"LIY 8x0,5",,RD,"0,5",,=A02+S1-S20:8,=A02+S1-J20:8,,,,,,,,
266,=A02+S1-W385,"LIY 8x0,5",,PK,"0,5",,=A02+S1-S20:6,=A02+S1-J20:6,,,,,,,,
267,=A02+I1-W385,"Sensorleitung 8x0,25",,GY,"0,25",,=A02+S1-J20:5,=A02+K1.B1-X21-X21.2F:15,,,,,,,,
268,=A02+S1-W385,"LIY 8x0,5",,GY,"0,5",,=A02+S1-S20:5,=A02+S1-J20:5,,,,,,,,
269,=A02+I1-W385,"Sensorleitung 8x0,25",,GN,"0,25",,=A02+S1-J20:3,=A02+K1.B1-X21-X21.2F:16,,,,,,,,
270,=A02+S1-W385,"LIY 8x0,5",,GN,"0,5",,=A02+S1-S20:3,=A02+S1-J20:3,,,,,,,,
271,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.2M:17,=A02+K1.B1-W5(-P2):P2,,,,,,,,
272,=A02+I1-W385,"Sensorleitung 8x0,25",,YE,"0,25",,=A02+S1-J20:4,=A02+K1.B1-X21-X21.2F:17,,,,,,,,
273,=A02+S1-W385,"LIY 8x0,5",,YE,"0,5",,=A02+S1-S20:4,=A02+S1-J20:4,,,,,,,,
274,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21.1:71,=A02+K1.B1-X21-X21.2M:18,,,,,,,,
275,=A02+I1-W386,"NEBV-Z4WA2L-R-E-10-N-LE2-S1 2x0,14 mm?",,BK1,"0,75",10 m,=A02+K1.B1-X21-X21.2F:18,=A02+S1-Y1:1,,,,,,,,
276,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X21-X21.2M:19,=A02+K1.B1-W5(-P2):P2,,,,,,,,
277,=A02+I1-W386,"NEBV-Z4WA2L-R-E-10-N-LE2-S1 2x0,14 mm?",,BK2,"0,75",10 m,=A02+S1-Y1:2,=A02+K1.B1-X21-X21.2F:19,,,,,,,,
278,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-W5(-P2):P2:2,=A02+K1.B1-K19:A2,,,,,,,,
279,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1:1,=A02+K1.B1-K19:A1,,,,,,,,
280,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:17,=A02+K1.B1-K19:S11,,,,,,,,
281,=A02+I1-W362,"?LFLEX? CLASSIC 110 5x0,5 mm?",,1,"0,5",5 m,=A02+S1-S1:12,=A02+K1.B1-X20-X20.2M:17,,,,,,,,
282,=A02+I1-W362,"?LFLEX? CLASSIC 110 5x0,5 mm?",,4,"0,5",5 m,=A02+S1-S1:11,=A02+K1.B1-X20-X20.2M:20,,,,,,,,
283,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:18,=A02+K1.B1-K19:S21,,,,,,,,
284,=A02+I1-W362,"?LFLEX? CLASSIC 110 5x0,5 mm?",,2,"0,5",5 m,=A02+S1-S1:22,=A02+K1.B1-X20-X20.2M:18,,,,,,,,
285,=A02+I1-W362,"?LFLEX? CLASSIC 110 5x0,5 mm?",,3,"0,5",5 m,=A02+S1-S1:21,=A02+K1.B1-X20-X20.2M:19,,,,,,,,
286,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:19,=A02+K1.B1-X20-X20.2F:22,,,,,,,,
287,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:20,=A02+K1.B1-X20-X20.2F:21,,,,,,,,
288,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21.1:12,=A02+K1.B1-K22:43,,,,,,,,
289,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21:12,=A02+K1.B1-K21.1:11,,,,,,,,
290,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-K21:11,=A02+K1.B1-K20:12,,,,,,,,
291,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K19:S34,=A02+K1.B1-K20:11,,,,,,,,
292,=A02+I1-W363,"?LFLEX? CLASSIC 110 5x0,5 mm?",,1,"0,5",5 m,=A02+S1-S11:12,=A02+K1.B1-X20-X20.2M:21,,,,,,,,
293,=A02+I1-W363,"?LFLEX? CLASSIC 110 5x0,5 mm?",,4,"0,5",5 m,=A02+S1-S11:11,=A02+K1.B1-X20-X20.2M:24,,,,,,,,
294,=A02+I1-W363,"?LFLEX? CLASSIC 110 5x0,5 mm?",,2,"0,5",5 m,=A02+S1-S11:22,=A02+K1.B1-X20-X20.2M:22,,,,,,,,
295,=A02+I1-W363,"?LFLEX? CLASSIC 110 5x0,5 mm?",,3,"0,5",5 m,=A02+S1-S11:21,=A02+K1.B1-X20-X20.2M:23,,,,,,,,
296,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:23,=A02+K1.B1-K19:S22,,,,,,,,
297,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.2F:24,=A02+K1.B1-K19:S12,,,,,,,,
298,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-K1:12,=A02+K1.B1-X9:12:5,,,,,,,,
299,=+,,H05V-K,BU,"0,75",,=F01+K1.B1-K1:11,=A02+K1.B1-K22:44,,,,,,,,
300,=A02+K1-W331,?LFLEX? CLASSIC 110 5x0.75 mm?,,2,"0,75",,=A02+K1.G2-S2:.4,=A02+K1.B1-X9:12:2,,,,,,,,
301,=A02+K1-W331,?LFLEX? CLASSIC 110 5x0.75 mm?,,1,"0,75",2 m,=A02+K1.B1-X9:11:4,=A02+K1.G2-S2:.3,,,,,,,,
302,=+,,H05V-K,,,,=A02+K1.B1-X9:10:5,=A02+K1.B1-X9:11:3,,,,,,,,
303,=A02+K1-W330,"?LFLEX? CLASSIC 110 5x0,75 mm?",,2,"0,75",,=A02+K1.G2-S3:12,=A02+K1.B1-X9:10:2,,,,,,,,
304,=A02+K1-W330,"?LFLEX? CLASSIC 110 5x0,75 mm?",,1,"0,75",5 m,=A02+K1.B1-X9:9:4,=A02+K1.G2-S3:11,,,,,,,,
305,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1:1,=A02+K1.B1-X9:9:3,,,,,,,,
306,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X9:16:5,=A02+K1.B1-W5(-P2):P2:1,,,,,,,,
307,=A02+K1-W331,?LFLEX? CLASSIC 110 5x0.75 mm?,,4,"0,75",,=A02+K1.G2-S2:X2,=A02+K1.B1-X9:16:2,,,,,,,,
308,=A02+K1-W331,?LFLEX? CLASSIC 110 5x0.75 mm?,,3,"0,75",2 m,=A02+K1.B1-X9:15:4,=A02+K1.G2-S2:X1,,,,,,,,
309,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-K20:72,=A02+K1.B1-X9:15:3,,,,,,,,
310,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X9:14:5,=A02+K1.B1-K20:71,,,,,,,,
311,=A02+K1-W330,"?LFLEX? CLASSIC 110 5x0,75 mm?",,4,"0,75",,=A02+K1.G2-S3:.4,=A02+K1.B1-X9:14:2,,,,,,,,
312,=A02+K1-W330,"?LFLEX? CLASSIC 110 5x0,75 mm?",,3,"0,75",5 m,=A02+K1.B1-X9:13:4,=A02+K1.G2-S3:.3,,,,,,,,
313,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1:2,=A02+K1.B1-X9:13:3,,,,,,,,
314,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-W5(-P2):P2:2,=A02+K1.B1-K20:A2,,,,,,,,
315,=+,,H05V-K,,,,=A02+K1.B1-K20,=A02+K1.B1-K20,,,,,,,,
316,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K19:14,=A02+K1.B1-K20:A11,,,,,,,,
317,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:A11,=A02+K1.B1-K21:A11,,,,,,,,
318,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21:A11,=A02+K1.B1-K21.1:A11,,,,,,,,
319,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1:1,=A02+K1.B1-K19:13,,,,,,,,
320,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K19:24,=A02+K1.B1-K20:A12,,,,,,,,
321,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K20:A12,=A02+K1.B1-K21:A12,,,,,,,,
322,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21:A12,=A02+K1.B1-K21.1:A12,,,,,,,,
323,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A3:9,=A02+K1.B1-K21.1:A12,,,,,,,,
324,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1:1,=A02+K1.B1-K19:23,,,,,,,,
325,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21:A2,=A02+K1.B1-W5(-P2):P2:1,,,,,,,,
326,=+,,H05V-K,,,,=A02+K1.B1-K21,=A02+K1.B1-K21,,,,,,,,
327,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K21.1:A2,=A02+K1.B1-W5(-P2):P2:1,,,,,,,,
328,=+,,H05V-K,,,,=A02+K1.B1-K21.1,=A02+K1.B1-K21.1,,,,,,,,
329,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-W5(-P2):P2:2,=A02+K1.B1-K22:A2,,,,,,,,
330,=+,,H05V-K,,,,=A02+K1.B1-K22,=A02+K1.B1-K22,,,,,,,,
331,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K1:22,=A02+K1.B1-K22:A11,,,,,,,,
332,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-W5(-P1):P1,=A02+K1.B1-X20-X20.3F:15,,,,,,,,
333,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K2:22,=A02+K1.B1-K22:A12,,,,,,,,
334,=+,,H05V-K,BU,"0,5",,=A01+K1.H2-K1:21,=A01+K1.H2-K2:21,,,,,,,,
335,=+,,H05V-K,BU,"0,75",,=A01+K1.H2-K1:21,=A02+K1.B1-X20-X20.3F:14,,,,,,,,
336,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-K22:54,=A02+K1.B1-A3:10,,,,,,,,
337,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P1):P1:1,=A02+K1.B1-K22:53,,,,,,,,
338,=A02+K1-W310,?LFLEX? CLASSIC 110 7x0.75 mm?,,1,"0,75",5 m,=A02+K1.B1-X9:17:4,=A02+K1.G2-H1:0,,,,,,,,
339,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W5(-P2):P2:1,=A02+K1.B1-X9:17:3,,,,,,,,
340,=A02+K1-W310,?LFLEX? CLASSIC 110 7x0.75 mm?,,2,"0,75",5 m,=A02+K1.B1-X9:18:5,=A02+K1.G2-H1:1,,,,,,,,
341,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:5,=A02+K1.B1-X9:18:2,,,,,,,,
342,=A02+K1-W310,?LFLEX? CLASSIC 110 7x0.75 mm?,,3,"0,75",5 m,=A02+K1.B1-X9:19:4,=A02+K1.G2-H1:2,,,,,,,,
343,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:6,=A02+K1.B1-X9:19:3,,,,,,,,
344,=A02+K1-W310,?LFLEX? CLASSIC 110 7x0.75 mm?,,4,"0,75",5 m,=A02+K1.B1-X9:20:5,=A02+K1.G2-H1:3,,,,,,,,
345,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:7,=A02+K1.B1-X9:20:2,,,,,,,,
346,=A02+K1-W310,?LFLEX? CLASSIC 110 7x0.75 mm?,,5,"0,75",5 m,=A02+K1.B1-X9:21:4,=A02+K1.G2-H1:4,,,,,,,,
347,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-A2:8,=A02+K1.B1-X9:21:3,,,,,,,,
348,=A02+K1-W310,?LFLEX? CLASSIC 110 7x0.75 mm?,,GNYE,"0,75",5 m,=A02+K1.B1-X9:PE:1,=A02+K1.G2-H1:PE,,,,,,,,
349,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-V1(0):1,=A02+K1.B1-V1:1.1,,,,,,,,
350,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-W6(-P2):P2:2,=A02+K1.B1-V1:3.1,,,,,,,,
351,=+,,H05V-K,Bridge piece,FBS 10-6,,=F01+K1.B1-V1:1.1,=A02+K1.B1-V1:1.1,,,,,,,,
352,=+,,H05V-K,Bridge piece,FBS 10-6 BU,,=F01+K1.B1-V1:3.2,=A02+K1.B1-V1:3.2,,,,,,,,
353,=+,,H05V-K,Bridge piece,FBS 10-6,,=O01+K1.B1-V1:1.1,=F01+K1.B1-V1:1.1,,,,,,,,
354,=+,,H05V-K,Bridge piece,FBS 10-6 BU,,=O01+K1.B1-V1:3.2,=F01+K1.B1-V1:3.2,,,,,,,,
355,=+,,H05V-K,Bridge piece,FBS 10-6,,=Q01+K1.B1-V1:1.1,=O01+K1.B1-V1:1.1,,,,,,,,
356,=+,,H05V-K,Bridge piece,FBS 10-6 BU,,=Q01+K1.B1-V1:3.2,=O01+K1.B1-V1:3.2,,,,,,,,
357,=+,,H05V-K,Bridge piece,FBS 10-6,,=S02+K1.B1-V1:1.1,=Q15+K1.B1-V1:1.1,,,,,,,,
358,=+,,H05V-K,BU,"0,5",,=S02+K1.B1-V1:1.1,=V01+K1.B1-V1:1.1,,,,,,,,
359,=+,,H05V-K,Bridge piece,FBS 10-6 BU,,=S02+K1.B1-V1:3.2,=Q15+K1.B1-V1:3.2,,,,,,,,
360,=+,,H05V-K,BU,"0,5",,=S02+K1.B1-V1:3.2,=V01+K1.B1-V1:3.2,,,,,,,,
361,=+,,H05V-K,Bridge piece,FBS 10-6,,=V01+K1.B1-V2:1.1,=V01+K1.B1-V1:1.1,,,,,,,,
362,=+,,H05V-K,Bridge piece,FBS 10-6 BU,,=V01+K1.B1-V2:3.2,=V01+K1.B1-V1:3.2,,,,,,,,
363,=+,,H07V-K,BU,"1,5",,=A02+K1.B1-V1:2.1,=A02+K1.B1-W5(-P1):X1:9,,,,,,,,
364,=+,,H07V-K,BU,"1,50",,=A02+K1.B1-W5(-P2):P2:1,=A02+K1.B1-W6(-P2):P2:2,,,,,,,,
365,=F01+I1-W301,UNITRONIC? LiYCY 3x0.5 mm?,,WH,"0,5",7 m,=A02+K1.B1-X20-X20.3M:5,=F01+S1-N1.123:7,,,,,,,,
366,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-W5(-P1):X1:1,=A02+K1.B1-X20-X20.3F:5,,,,,,,,
367,=F01+I1-W301,UNITRONIC? LiYCY 3x0.5 mm?,,BN,"0,5",7 m,=A02+K1.B1-X20-X20.3M:6,=F01+S1-N1.123:4,,,,,,,,
368,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-W5(-P2):X1:1,=A02+K1.B1-X20-X20.3F:6,,,,,,,,
369,=F01+I1-W301,UNITRONIC? LiYCY 3x0.5 mm?,,GN,"0,5",7 m,=A02+K1.B1-X20-X20.3M:7,=F01+S1-N1.123:3,,,,,,,,
370,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-K1:34,=A02+K1.B1-X20-X20.3F:7,,,,,,,,
371,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-W5(-P1):X1:2,=F01+K1.B1-K1:33,,,,,,,,
372,=F01+I1-W301,UNITRONIC? LiYCY 3x0.5 mm?,,,,,=F01+I1-W301,=F01+S1-N1.123:CASE,,,,,,,,
373,=F01+I1-W301,UNITRONIC? LiYCY 3x0.5 mm?,,Schirm,"0,50",,=F01+I1-W301:Schirm,=A02+K1.B1-W10:SE,,,,,,,,
374,=F01+I1-W302,UNITRONIC? LiYCY 3x0.5 mm?,,WH,"0,5",7 m,=A02+K1.B1-X20-X20.3M:8,=F01+S1-N2:7,,,,,,,,
375,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-W5(-P1):X1:3,=A02+K1.B1-X20-X20.3F:8,,,,,,,,
376,=F01+I1-W302,UNITRONIC? LiYCY 3x0.5 mm?,,BN,"0,5",7 m,=A02+K1.B1-X20-X20.3M:9,=F01+S1-N2:4,,,,,,,,
377,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-W5(-P2):X1:2,=A02+K1.B1-X20-X20.3F:9,,,,,,,,
378,=F01+I1-W302,UNITRONIC? LiYCY 3x0.5 mm?,,GN,"0,5",7 m,=A02+K1.B1-X20-X20.3M:10,=F01+S1-N2:3,,,,,,,,
379,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-K1:54,=A02+K1.B1-X20-X20.3F:10,,,,,,,,
380,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-W5(-P1):X1:4,=F01+K1.B1-K1:53,,,,,,,,
381,=F01+I1-W302,UNITRONIC? LiYCY 3x0.5 mm?,,,,,=F01+I1-W302,=F01+S1-N2:CASE,,,,,,,,
382,=F01+I1-W302,UNITRONIC? LiYCY 3x0.5 mm?,,,,,=F01+I1-W302,=A02+K1.B1-W10:SE,,,,,,,,
383,=+,,H05V-K,BU,"0,5",,=V01+K1.B1-A3:13,=A02+K1.B1-X22-X22.3F:4,,,,,,,,
384,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X22-X22.3F:4,=F01+K1.B1-K1:A11,,,,,,,,
385,=+,,H05V-K,BU,"0,5",,=F01+K1.B1-K1:A2,=F01+K1.B1-W5(-P2):X1:4,,,,,,,,
386,=+,,H05V-K,,,,=F01+K1.B1-K1,=F01+K1.B1-K1,,,,,,,,
387,=+,,H05V-K,BU,"0,5",,=V01+K1.B1-A1:9,=A02+K1.B1-K21:33,,,,,,,,
388,=+,,,BU,"0,75",,,,,,,,,,,
389,=+,,H05V-K,BU,"0,75",,=A02+K1.B1-X22-X22.2F:24,=F01+K1.B1-K1:A12,,,,,,,,
390,=+,,H05V-K,BU,"0,5",,=V01+K1.B1-A3:14,=A02+K1.B1-X22-X22.2F:24,,,,,,,,
391,=+,,H05V-K,BU,"0,5",,=A02+K1.B1-X20-X20.3F:13,=F01+K1.B1-W5(-P2):X1:5,,,,,,,,
